co2;temp;hum;label
29070.16;31.88;76.91;2
27308.18;31.92;78.56;2
28474.01;31.9;77.31;2
25517.84;31.9;78.47;2
29176.34;31.91;76.89;2
26476.7;31.94;77.92;2
30366.32;31.97;76.63;2
32118.78;31.98;78.1;2
34533.8;31.95;78.25;2
36212.85;32.0;79.7;2
37101.65;32.0;79.8;2
37545.73;32.04;79.33;2
40000.0;31.97;78.91;2
38089.6;31.81;74.55;2
30518.23;31.78;74.15;2
33879.66;31.84;75.9;2
29033.69;31.91;78.14;2
36662.9;31.9;78.92;2
31059.6;31.92;80.95;2
37080.3;31.9;78.13;2
37732.02;31.97;80.7;2
39521.57;31.98;82.13;2
40000.0;31.97;82.09;2
40000.0;32.04;82.43;2
